Peak_Number,Energy_MeV,Net_Counts,Raw_Counts,FWHM_MeV,Background_Counts,Signal_to_Background
1,0.095,748,0,0.08048875279219882,-748,-1.0
2,0.305,5429,10114,0.04578705112292816,4684,1.1589330180717758
3,0.725,4164,9855,0.029513548061553083,5690,0.7319213812987588
4,1.025,848,5469,0.03731451315217399,4620,0.18371741526373292
5,1.415,235,3753,0.053282235044598565,3517,0.06680432500183528
6,1.6350000000000002,1541,5236,0.04032249993752572,3694,0.41712278692901067
7,1.995,749,4234,0.043168436204914826,3484,0.21496070748739882
8,2.105,247,3476,0.0244262243825321,3228,0.07651484085768226
9,2.315,3542,8288,0.055532764145608836,4745,0.7465454029864623
10,2.555,573,2642,0.05932169699560064,2068,0.2770103641648485
11,2.815,195,2033,0.07923174485831112,1837,0.1061234461528178
12,3.085,110,1955,0.030649981451933286,1844,0.0598046879624991
13,3.205,158,1915,0.022138733171150875,1756,0.09037964987312179
14,3.395,116,1487,0.05039412679834868,1370,0.08515875110417735
15,3.6550000000000002,260,1788,0.0738651831242629,1527,0.17033853560823178
16,3.875,264,1883,0.05312486120558333,1618,0.16366955537479008
17,4.165,329,1196,0.08707915535175346,866,0.3795582044755964
18,4.4350000000000005,2723,8150,0.09051698887776183,5426,0.5019512670315045
19,4.735,363,1095,0.09209410259459673,731,0.49629523958786753
20,5.295,202,1291,0.06535386382714592,1088,0.1862306495212218
21,6.475,124,872,0.027351146131844643,747,0.16612601448214048
